Controller name: DT6220, Controller serial number: 2073, Controller software version: 1.2d, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.4f;8010079, Average type: 3, Average count: 7, Sample time: 9600 µs, Measurement rate: 104.167 Hz, 
Channel 1:, Sensor name: DL6230/ECL2, Serial number: 1439, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6230/ECL2, Serial number: 1440, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2022-06-17 10:34:14.227, 

Snapshot Time Stamp, Data channel 1 (µm)
2022-06-17 11:45:33.198618,  351.92599
2022-06-17 11:45:33.208219,  351.92575
2022-06-17 11:45:33.217818,  351.92563
2022-06-17 11:45:33.227418,  351.92563
2022-06-17 11:45:33.237018,  351.92551
2022-06-17 11:45:33.246619,  351.92492
2022-06-17 11:45:33.256218,  351.92492
2022-06-17 11:45:33.265818,  351.92480
2022-06-17 11:45:33.275418,  351.92480
2022-06-17 11:45:33.285018,  351.92468
2022-06-17 11:45:33.294618,  351.92468
2022-06-17 11:45:33.304218,  351.92480
2022-06-17 11:45:33.313818,  351.92456
2022-06-17 11:45:33.323418,  351.92432
2022-06-17 11:45:33.333018,  351.92432
2022-06-17 11:45:33.342618,  351.92408
2022-06-17 11:45:33.352218,  351.92432
2022-06-17 11:45:33.361818,  351.92408
2022-06-17 11:45:33.371418,  351.92396
2022-06-17 11:45:33.381018,  351.92384
2022-06-17 11:45:33.390618,  351.92325
2022-06-17 11:45:33.400218,  351.92289
2022-06-17 11:45:33.409818,  351.92289
2022-06-17 11:45:33.419418,  351.92289
2022-06-17 11:45:33.429018,  351.92253
2022-06-17 11:45:33.438618,  351.92253
2022-06-17 11:45:33.448218,  351.92253
2022-06-17 11:45:33.457818,  351.92253
2022-06-17 11:45:33.467418,  351.92265
2022-06-17 11:45:33.477018,  351.92265
2022-06-17 11:45:33.486618,  351.92265
2022-06-17 11:45:33.496218,  351.92313
2022-06-17 11:45:33.505818,  351.92325
2022-06-17 11:45:33.515418,  351.92325
2022-06-17 11:45:33.525018,  351.92325
2022-06-17 11:45:33.534618,  351.92325
2022-06-17 11:45:33.544218,  351.92325
2022-06-17 11:45:33.553818,  351.92325
2022-06-17 11:45:33.563418,  351.92313
2022-06-17 11:45:33.573018,  351.92313
2022-06-17 11:45:33.582618,  351.92301
2022-06-17 11:45:33.592218,  351.92313
2022-06-17 11:45:33.601818,  351.92373
2022-06-17 11:45:33.611418,  351.92432
2022-06-17 11:45:33.621018,  351.92480
2022-06-17 11:45:33.630618,  351.92516
2022-06-17 11:45:33.640218,  351.92516
2022-06-17 11:45:33.649818,  351.92587
2022-06-17 11:45:33.659417,  351.92623
2022-06-17 11:45:33.669018,  351.92682
2022-06-17 11:45:33.678617,  351.92718
2022-06-17 11:45:33.688218,  351.92766
2022-06-17 11:45:33.697817,  351.92766
2022-06-17 11:45:33.707417,  351.92778
2022-06-17 11:45:33.717017,  351.92778
2022-06-17 11:45:33.726617,  351.92778
2022-06-17 11:45:33.736217,  351.92706
2022-06-17 11:45:33.745817,  351.92659
2022-06-17 11:45:33.755417,  351.92659
2022-06-17 11:45:33.765017,  351.92706
2022-06-17 11:45:33.774617,  351.92706
2022-06-17 11:45:33.784217,  351.92682
2022-06-17 11:45:33.793817,  351.92682
2022-06-17 11:45:33.803417,  351.92706
2022-06-17 11:45:33.813017,  351.92706
2022-06-17 11:45:33.822617,  351.92706
2022-06-17 11:45:33.832217,  351.92682
2022-06-17 11:45:33.841817,  351.92682
2022-06-17 11:45:33.851417,  351.92659
2022-06-17 11:45:33.861017,  351.92647
2022-06-17 11:45:33.870617,  351.92563
2022-06-17 11:45:33.880217,  351.92551
2022-06-17 11:45:33.889817,  351.92516
2022-06-17 11:45:33.899417,  351.92516
2022-06-17 11:45:33.909017,  351.92516
2022-06-17 11:45:33.918617,  351.92551
2022-06-17 11:45:33.928217,  351.92516
2022-06-17 11:45:33.937817,  351.92551
2022-06-17 11:45:33.947417,  351.92575
2022-06-17 11:45:33.957017,  351.92575
2022-06-17 11:45:33.966617,  351.92587
2022-06-17 11:45:33.976217,  351.92599
2022-06-17 11:45:33.985817,  351.92599
2022-06-17 11:45:33.995417,  351.92635
2022-06-17 11:45:34.005017,  351.92635
2022-06-17 11:45:34.014617,  351.92635
2022-06-17 11:45:34.024217,  351.92635
2022-06-17 11:45:34.033817,  351.92587
2022-06-17 11:45:34.043417,  351.92563
2022-06-17 11:45:34.053017,  351.92563
2022-06-17 11:45:34.062617,  351.92516
2022-06-17 11:45:34.072217,  351.92492
2022-06-17 11:45:34.081817,  351.92492
2022-06-17 11:45:34.091417,  351.92492
2022-06-17 11:45:34.101017,  351.92492
2022-06-17 11:45:34.110617,  351.92432
2022-06-17 11:45:34.120217,  351.92516
2022-06-17 11:45:34.129817,  351.92563
2022-06-17 11:45:34.139417,  351.92563
2022-06-17 11:45:34.149017,  351.92563
2022-06-17 11:45:34.158617,  351.92563
2022-06-17 11:45:34.168217,  351.92563
2022-06-17 11:45:34.177817,  351.92563
2022-06-17 11:45:34.187417,  351.92563
2022-06-17 11:45:34.197017,  351.92563
2022-06-17 11:45:34.206617,  351.92587
2022-06-17 11:45:34.216217,  351.92563
2022-06-17 11:45:34.225817,  351.92563
2022-06-17 11:45:34.235416,  351.92587
2022-06-17 11:45:34.245017,  351.92587
2022-06-17 11:45:34.254616,  351.92575
2022-06-17 11:45:34.264217,  351.92575
2022-06-17 11:45:34.273816,  351.92575
2022-06-17 11:45:34.283417,  351.92635
2022-06-17 11:45:34.293017,  351.92659
2022-06-17 11:45:34.302616,  351.92635
2022-06-17 11:45:34.312217,  351.92635
2022-06-17 11:45:34.321817,  351.92659
2022-06-17 11:45:34.331417,  351.92659
2022-06-17 11:45:34.341017,  351.92659
2022-06-17 11:45:34.350616,  351.92706
2022-06-17 11:45:34.360217,  351.92706
2022-06-17 11:45:34.369816,  351.92706
2022-06-17 11:45:34.379416,  351.92706
2022-06-17 11:45:34.389016,  351.92635
2022-06-17 11:45:34.398617,  351.92635
2022-06-17 11:45:34.408216,  351.92563
2022-06-17 11:45:34.417816,  351.92504
2022-06-17 11:45:34.427417,  351.92480
2022-06-17 11:45:34.437016,  351.92432
2022-06-17 11:45:34.446616,  351.92432
2022-06-17 11:45:34.456216,  351.92432
2022-06-17 11:45:34.465816,  351.92432
2022-06-17 11:45:34.475416,  351.92444
2022-06-17 11:45:34.485016,  351.92516
2022-06-17 11:45:34.494616,  351.92539
2022-06-17 11:45:34.504216,  351.92563
2022-06-17 11:45:34.513816,  351.92587
2022-06-17 11:45:34.523416,  351.92563
2022-06-17 11:45:34.533016,  351.92539
2022-06-17 11:45:34.542616,  351.92516
2022-06-17 11:45:34.552216,  351.92539
2022-06-17 11:45:34.561816,  351.92516
2022-06-17 11:45:34.571416,  351.92516
2022-06-17 11:45:34.581016,  351.92516
2022-06-17 11:45:34.590616,  351.92563
2022-06-17 11:45:34.600216,  351.92611
2022-06-17 11:45:34.609816,  351.92611
2022-06-17 11:45:34.619416,  351.92623
2022-06-17 11:45:34.629016,  351.92623
2022-06-17 11:45:34.638616,  351.92623
2022-06-17 11:45:34.648216,  351.92623
2022-06-17 11:45:34.657816,  351.92611
2022-06-17 11:45:34.667416,  351.92587
2022-06-17 11:45:34.677016,  351.92575
2022-06-17 11:45:34.686616,  351.92575
2022-06-17 11:45:34.696216,  351.92587
2022-06-17 11:45:34.705816,  351.92575
2022-06-17 11:45:34.715416,  351.92551
2022-06-17 11:45:34.725016,  351.92551
2022-06-17 11:45:34.734616,  351.92551
2022-06-17 11:45:34.744216,  351.92504
2022-06-17 11:45:34.753816,  351.92420
2022-06-17 11:45:34.763416,  351.92420
2022-06-17 11:45:34.773016,  351.92408
2022-06-17 11:45:34.782616,  351.92384
2022-06-17 11:45:34.792216,  351.92384
2022-06-17 11:45:34.801816,  351.92384
2022-06-17 11:45:34.811416,  351.92384
2022-06-17 11:45:34.821016,  351.92384
2022-06-17 11:45:34.830616,  351.92384
2022-06-17 11:45:34.840216,  351.92384
2022-06-17 11:45:34.849816,  351.92384
2022-06-17 11:45:34.859416,  351.92384
2022-06-17 11:45:34.869016,  351.92384
2022-06-17 11:45:34.878616,  351.92277
2022-06-17 11:45:34.888216,  351.92277
2022-06-17 11:45:34.897816,  351.92277
2022-06-17 11:45:34.907416,  351.92289
2022-06-17 11:45:34.917016,  351.92289
2022-06-17 11:45:34.926616,  351.92396
2022-06-17 11:45:34.936216,  351.92408
2022-06-17 11:45:34.945816,  351.92444
2022-06-17 11:45:34.955415,  351.92444
2022-06-17 11:45:34.965016,  351.92444
2022-06-17 11:45:34.974616,  351.92539
2022-06-17 11:45:34.984215,  351.92539
2022-06-17 11:45:34.993815,  351.92539
2022-06-17 11:45:35.003416,  351.92504
2022-06-17 11:45:35.013015,  351.92492
2022-06-17 11:45:35.022615,  351.92492
2022-06-17 11:45:35.032215,  351.92504
2022-06-17 11:45:35.041816,  351.92492
2022-06-17 11:45:35.051415,  351.92480
2022-06-17 11:45:35.061015,  351.92504
2022-06-17 11:45:35.070615,  351.92516
2022-06-17 11:45:35.080215,  351.92516
2022-06-17 11:45:35.089815,  351.92492
2022-06-17 11:45:35.099415,  351.92492
2022-06-17 11:45:35.109015,  351.92492
2022-06-17 11:45:35.118615,  351.92504
2022-06-17 11:45:35.128215,  351.92492
2022-06-17 11:45:35.137815,  351.92492
2022-06-17 11:45:35.147415,  351.92492
2022-06-17 11:45:35.157015,  351.92456
2022-06-17 11:45:35.166615,  351.92432
2022-06-17 11:45:35.176215,  351.92432
2022-06-17 11:45:35.185815,  351.92420
2022-06-17 11:45:35.195415,  351.92432
2022-06-17 11:45:35.205015,  351.92420
2022-06-17 11:45:35.214615,  351.92420
2022-06-17 11:45:35.224215,  351.92420
2022-06-17 11:45:35.233815,  351.92408
2022-06-17 11:45:35.243415,  351.92313
2022-06-17 11:45:35.253015,  351.92313
2022-06-17 11:45:35.262615,  351.92253
2022-06-17 11:45:35.272215,  351.92313
2022-06-17 11:45:35.281815,  351.92253
2022-06-17 11:45:35.291415,  351.92253
2022-06-17 11:45:35.301015,  351.92241
2022-06-17 11:45:35.310615,  351.92253
2022-06-17 11:45:35.320215,  351.92265
2022-06-17 11:45:35.329815,  351.92325
2022-06-17 11:45:35.339415,  351.92265
2022-06-17 11:45:35.349015,  351.92265
2022-06-17 11:45:35.358615,  351.92265
2022-06-17 11:45:35.368215,  351.92265
2022-06-17 11:45:35.377815,  351.92289
2022-06-17 11:45:35.387415,  351.92289
2022-06-17 11:45:35.397015,  351.92289
2022-06-17 11:45:35.406615,  351.92349
2022-06-17 11:45:35.416215,  351.92349
2022-06-17 11:45:35.425815,  351.92349
2022-06-17 11:45:35.435415,  351.92420
2022-06-17 11:45:35.445015,  351.92349
2022-06-17 11:45:35.454614,  351.92349
2022-06-17 11:45:35.464215,  351.92325
2022-06-17 11:45:35.473814,  351.92325
2022-06-17 11:45:35.483415,  351.92432
2022-06-17 11:45:35.493014,  351.92432
2022-06-17 11:45:35.502614,  351.92444
2022-06-17 11:45:35.512214,  351.92492
2022-06-17 11:45:35.521814,  351.92516
2022-06-17 11:45:35.531414,  351.92587
2022-06-17 11:45:35.541014,  351.92599
2022-06-17 11:45:35.550614,  351.92599
2022-06-17 11:45:35.560214,  351.92682
2022-06-17 11:45:35.569814,  351.92682
2022-06-17 11:45:35.579414,  351.92682
2022-06-17 11:45:35.589014,  351.92682
2022-06-17 11:45:35.598614,  351.92682
2022-06-17 11:45:35.608214,  351.92682
2022-06-17 11:45:35.617814,  351.92682
2022-06-17 11:45:35.627414,  351.92659
2022-06-17 11:45:35.637014,  351.92659
2022-06-17 11:45:35.646614,  351.92659
2022-06-17 11:45:35.656214,  351.92766
2022-06-17 11:45:35.665814,  351.92766
2022-06-17 11:45:35.675414,  351.92706
2022-06-17 11:45:35.685014,  351.92659
2022-06-17 11:45:35.694614,  351.92659
2022-06-17 11:45:35.704214,  351.92659
2022-06-17 11:45:35.713814,  351.92659
2022-06-17 11:45:35.723414,  351.92563
2022-06-17 11:45:35.733014,  351.92647
2022-06-17 11:45:35.742614,  351.92563
2022-06-17 11:45:35.752214,  351.92492
2022-06-17 11:45:35.761814,  351.92456
2022-06-17 11:45:35.771414,  351.92432
2022-06-17 11:45:35.781014,  351.92432
2022-06-17 11:45:35.790614,  351.92432
2022-06-17 11:45:35.800214,  351.92408
2022-06-17 11:45:35.809814,  351.92408
2022-06-17 11:45:35.819414,  351.92408
2022-06-17 11:45:35.829014,  351.92408
2022-06-17 11:45:35.838614,  351.92408
2022-06-17 11:45:35.848214,  351.92408
2022-06-17 11:45:35.857814,  351.92396
2022-06-17 11:45:35.867414,  351.92396
2022-06-17 11:45:35.877014,  351.92408
2022-06-17 11:45:35.886614,  351.92396
2022-06-17 11:45:35.896214,  351.92396
2022-06-17 11:45:35.905814,  351.92396
2022-06-17 11:45:35.915414,  351.92396
2022-06-17 11:45:35.925014,  351.92325
2022-06-17 11:45:35.934613,  351.92325
2022-06-17 11:45:35.944214,  351.92277
2022-06-17 11:45:35.953814,  351.92277
2022-06-17 11:45:35.963413,  351.92277
2022-06-17 11:45:35.973014,  351.92277
2022-06-17 11:45:35.982614,  351.92277
2022-06-17 11:45:35.992214,  351.92289
2022-06-17 11:45:36.001813,  351.92289
2022-06-17 11:45:36.011414,  351.92337
2022-06-17 11:45:36.021013,  351.92384
2022-06-17 11:45:36.030613,  351.92408
2022-06-17 11:45:36.040213,  351.92408
2022-06-17 11:45:36.049814,  351.92408
2022-06-17 11:45:36.059413,  351.92408
2022-06-17 11:45:36.069013,  351.92408
2022-06-17 11:45:36.078613,  351.92408
2022-06-17 11:45:36.088213,  351.92408
2022-06-17 11:45:36.097813,  351.92384
2022-06-17 11:45:36.107413,  351.92408
2022-06-17 11:45:36.117013,  351.92408
2022-06-17 11:45:36.126613,  351.92384
2022-06-17 11:45:36.136213,  351.92408
2022-06-17 11:45:36.145813,  351.92408
2022-06-17 11:45:36.155413,  351.92408
2022-06-17 11:45:36.165013,  351.92420
2022-06-17 11:45:36.174613,  351.92420
2022-06-17 11:45:36.184213,  351.92456
2022-06-17 11:45:36.193813,  351.92456
2022-06-17 11:45:36.203413,  351.92504
2022-06-17 11:45:36.213013,  351.92504
2022-06-17 11:45:36.222613,  351.92504
2022-06-17 11:45:36.232213,  351.92456
2022-06-17 11:45:36.241813,  351.92504
